repo	language	stars	code_hit_count	in_candidate_catalog	in_language_snapshot	html_url
skushneryuk/lolcode_interpreter	C++	0	0	no	no	https://github.com/skushneryuk/lolcode_interpreter
sobernt/lolcode		0	0	no	no	https://github.com/sobernt/lolcode
soumitradev/assembly-fun-lolcode	C	0	0	no	no	https://github.com/soumitradev/assembly-fun-lolcode
sribnyak/lolbison	C++	0	0	no	no	https://github.com/sribnyak/lolbison
ssuksawat/LOLTACTOE	LOLCODE	0	0	no	yes	https://github.com/ssuksawat/LOLTACTOE
starquell/LOLCODE-Interpreter	C++	0	0	no	no	https://github.com/starquell/LOLCODE-Interpreter
stephen-riley/ll-lolcode	C#	0	0	no	no	https://github.com/stephen-riley/ll-lolcode
stephen-riley/lolcode	Perl	0	0	no	no	https://github.com/stephen-riley/lolcode
stetsonia/lolcode-docs	HTML	0	0	no	no	https://github.com/stetsonia/lolcode-docs
strangeglyph/lolcode-compiler	Rust	0	0	no	no	https://github.com/strangeglyph/lolcode-compiler
sudharsh/fatso	C++	0	0	no	no	https://github.com/sudharsh/fatso
sudo-gera/lolcode-interpreter	Python	0	0	no	no	https://github.com/sudo-gera/lolcode-interpreter
superman12747-crypto/esolang-bucket		0	0	no	no	https://github.com/superman12747-crypto/esolang-bucket
swaghma1-cosc-455/cosc_455_lolcode_compiler_project	Rust	0	0	no	no	https://github.com/swaghma1-cosc-455/cosc_455_lolcode_compiler_project
sweetx2apple/lolcode	LOLCODE	0	0	no	yes	https://github.com/sweetx2apple/lolcode
taddeus/lolwut	OCaml	0	0	no	no	https://github.com/taddeus/lolwut
taj-caeli/lolcode-interpreter	Python	0	0	no	no	https://github.com/taj-caeli/lolcode-interpreter
taprapka/lolcode	LOLCODE	0	0	no	yes	https://github.com/taprapka/lolcode
tcarver371/LOLCODE-Test	HTML	0	0	no	no	https://github.com/tcarver371/LOLCODE-Test
tcarver371/LOLCODE_test	CSS	0	0	no	no	https://github.com/tcarver371/LOLCODE_test
tcort/minou	Lex	0	0	no	no	https://github.com/tcort/minou
technoi7/ticTacToeLOLCODE	LOLCODE	0	0	no	yes	https://github.com/technoi7/ticTacToeLOLCODE
tedneward/LOLSELF	Kotlin	0	0	no	no	https://github.com/tedneward/LOLSELF
tewe11/lolcode-docs		0	0	no	no	https://github.com/tewe11/lolcode-docs
texmex76/tree-sitter-lolcode	JavaScript	0	0	no	no	https://github.com/texmex76/tree-sitter-lolcode
theFox6/LOLCoinz	LOLCODE	0	0	no	yes	https://github.com/theFox6/LOLCoinz
tim-speed/loljs	JavaScript	0	0	no	no	https://github.com/tim-speed/loljs
tony-stark18/LolCode	C++	0	0	no	no	https://github.com/tony-stark18/LolCode
tuffk/lols	LOLCODE	0	0	no	yes	https://github.com/tuffk/lols
ulrich-barnstedt-archive/brainfuck.lol	LOLCODE	0	0	no	yes	https://github.com/ulrich-barnstedt-archive/brainfuck.lol
vulnanx/LOLcode-Compiler-with-GUI	Python	0	0	no	no	https://github.com/vulnanx/LOLcode-Compiler-with-GUI
wattsap/lolearning	LOLCODE	0	0	no	yes	https://github.com/wattsap/lolearning
wonder-coconut/lolcode_circlejerk	LOLCODE	0	0	no	yes	https://github.com/wonder-coconut/lolcode_circlejerk
wookietreiber/scalolcode	Scala	0	0	no	no	https://github.com/wookietreiber/scalolcode
wydialang/lolcode-project	LOLCODE	0	0	no	yes	https://github.com/wydialang/lolcode-project
x-ae-a-12/lolcode		0	0	no	no	https://github.com/x-ae-a-12/lolcode
xtrxtrkiyoshi/WildcatsInterpreter	C#	0	0	no	no	https://github.com/xtrxtrkiyoshi/WildcatsInterpreter
yamaz420/PythonIntro-LOLcodeAndShit	Python	0	0	no	no	https://github.com/yamaz420/PythonIntro-LOLcodeAndShit
yashbee313839/LOLCODE-Scripts	LOLCODE	0	0	no	yes	https://github.com/yashbee313839/LOLCODE-Scripts
yawkat/lolcode	Java	0	0	no	no	https://github.com/yawkat/lolcode
yuktamsingh/LOLCODE		0	0	no	no	https://github.com/yuktamsingh/LOLCODE
zachdeibert/lol-say	LOLCODE	0	0	no	yes	https://github.com/zachdeibert/lol-say
zatrodev/lolcode	Rust	0	0	no	no	https://github.com/zatrodev/lolcode
zenithcipriano/LOLCode-Interpreter		0	0	no	no	https://github.com/zenithcipriano/LOLCode-Interpreter
